"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"12/16/2024","Qualified Dividend","GOOG","ALPHABET INC CLASS CLASS C","","","","$41.86"
"11/26/2024","Credit Interest","","SCHWAB1 INT 10/30-11/25","","","","$0.42"
"11/12/2024","Wire Sent","","WIRED FUNDS DISBURSED","","","","-$20000.00"
"11/05/2024","Sell","GOOGL","ALPHABET INC CLASS A","181","$278.80","$0.03","$50462.77"
"10/04/2024 as of 10/03/2024","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$191.71"
"08/25/2024 as of 08/24/2024","Stock Split","TSLA","TESLA INC","84","$297.0967","",""
"08/19/2024","Misc Cash Entry","","WAIVE WIRE FEE","","","","$15.00"
"08/19/2024","Service Fee","","WIRED FUNDS FEE","","","","-$15.00"
"07/08/2024","Journal","","JOURNAL FRM ...999","","","","$1522.61"
"06/14/2024","Buy","GOOGL","ALPHABET INC CLASS A","22","$178.35","","-$3923.70"
"05/13/2024","Cash Merger","ATVI","ACTIVISION BLIZZARD MANDATORY MERGER EFF: 05/13/24","","","","$4445.21"
"05/13/2024","Cash Merger Adj","ATVI","ACTIVISION BLIZZARD MANDATORY MERGER EFF: 05/13/24","-46.7917","","",""
"04/18/2024","Reinvest Shares","ATVI","ACTIVISION BLIZZARD","0.5071","$90.3603","","-$45.82"
"04/17/2024","Qual Div Reinvest","ATVI","ACTIVISION BLIZZARD","","","","$45.82"
